time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-16T20:11:28.216Z,9.1426,40.1541,10,4.6,mb,48,116,3.556,0.55,us,us6000nz6e,2024-10-17T09:14:38.767Z,"17 km N of Āwash, Ethiopia",earthquake,9.07,1.871,0.091,36,reviewed,us,us
2024-10-16T19:40:58.717Z,18.4898,-106.9116,10,5.9,mww,130,174,5.497,1.53,us,us6000nz5z,2024-10-17T19:43:57.544Z,"224 km SW of José María Morelos, Mexico",earthquake,9.79,1.889,0.052,36,reviewed,us,us
2024-10-16T18:59:39.196Z,-27.7875,-176.3663,10,5.1,mb,73,65,2,0.64,us,us6000nz5p,2024-10-16T19:28:08.040Z,"Kermadec Islands region",earthquake,10.08,1.77,0.074,65,reviewed,us,us
2024-10-16T18:56:51.468Z,36.5608,70.5904,203.382,5.9,mww,146,36,1.938,1.21,us,us6000nz5n,2024-10-17T18:59:48.635Z,"40 km SSW of Jurm, Afghanistan",earthquake,6.94,6.033,0.038,66,reviewed,us,us
2024-10-16T18:44:55.717Z,-31.1421,-176.7602,10,4.5,mb,17,206,2.126,1.24,us,us6000nz5l,2024-10-16T20:21:47.040Z,"Kermadec Islands region",earthquake,8.31,1.971,0.128,18,reviewed,us,us
2024-10-16T18:32:52.324Z,18.003,120.1504,10,4.7,mww,124,42,4.869,0.95,us,us6000nz5j,2024-10-16T19:37:30.040Z,"32 km WNW of Pagsanahan Norte, Philippines",earthquake,8.1,1.767,0.098,10,reviewed,us,us
2024-10-16T17:11:00.533Z,-27.8652,-176.1917,10,5.1,mww,74,44,2.055,0.59,us,us6000nz4x,2024-10-16T17:41:51.040Z,"Kermadec Islands region",earthquake,11.11,1.789,0.093,11,reviewed,us,us
2024-10-16T16:15:36.252Z,29.044,139.3178,422.951,4.7,mb,104,74,3.191,0.69,us,us6000nz4a,2024-10-16T16:32:53.040Z,"Izu Islands, Japan region",earthquake,10.23,7.803,0.028,392,reviewed,us,us
2024-10-16T16:13:09.828Z,-23.6622,-179.9346,536.333,4.5,mb,48,73,5.133,1,us,us6000nz4c,2024-10-16T16:47:27.040Z,"south of the Fiji Islands",earthquake,12.91,9.18,0.083,42,reviewed,us,us
2024-10-16T15:04:02.962Z,-31.1769,-176.7871,10,5.1,mb,42,77,2.146,0.8,us,us6000nz35,2024-10-16T15:32:49.040Z,"Kermadec Islands region",earthquake,10.22,1.851,0.079,52,reviewed,us,us
2024-10-16T13:58:21.057Z,23.995,121.6717,35,4.8,mwr,130,30,0.191,0.65,us,us6000nz1z,2024-10-17T00:14:40.179Z,"7 km ENE of Hualien City, Taiwan",earthquake,3.92,1.805,0.063,24,reviewed,us,us
2024-10-16T12:19:44.762Z,-31.1714,-177.0966,10,5.3,mb,65,88,2.032,0.55,us,us6000nz1u,2024-10-16T14:19:04.040Z,"Kermadec Islands region",earthquake,10.12,1.875,0.07,68,reviewed,us,us
